#ID	Name	SMILES
Hlpr-1138-0	Hlpr-1138-0	NC(Cc1ccccc1)C(=O)NC(CO)C(=O)N1CCCC1C(=O)O
Hlpr-1140-0	Hlpr-1140-0	NC(Cc1ccc(O)cc1)C(=O)NCC(=O)NCC(=O)O
Hlpr-1140-1	Hlpr-1140-1	CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O
Hlpr-1141-1	Hlpr-1141-1	O=C(O)CCC(=O)NCC(=O)NCC(=O)O
Hlpr-1142-0	Hlpr-1142-0	CC(NC(=O)C(C)NC(=O)OC(C)(C)C)C(=O)O
Hlpr-1144-1	Hlpr-1144-1	CC(C)CC(NC(=O)C(N)Cc1cnc[nH]1)C(=O)O
Hlpr-1146-0	Hlpr-1146-0	CC(C)CC(NC(=O)CN)C(=O)O
Hlpr-1147-0	Hlpr-1147-0	CC(C)C(N)C(=O)NCC(=O)N1CCCC1C(=O)NC(CC(=O)O)C(=O)O
Hlpr-1147-1	Hlpr-1147-1	N=C(N)NCCCC(NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O
Hlpr-1149-1	Hlpr-1149-1	NC(N)=NCCCC(NC(=O)c1ccccc1)C(=O)O
Hlpr-1153-0	Hlpr-1153-0	NC(=O)CNC(=O)C(N)CO
Hlpr-1153-1	Hlpr-1153-1	CC(C)CC(NC(=O)C(N)C(C)C)C(=O)NC(CCC(N)=O)C(=O)O
Hlpr-1154-0	Hlpr-1154-0	NCCCCC(NC(=O)CN)C(=O)O
Hlpr-1155-0	Hlpr-1155-0	CC(NC(=O)C(CCCNC(=N)N)NC(=O)c1ccccc1N)C(=O)O
Hlpr-1159-0	Hlpr-1159-0	CC(C)CC(NC(=O)c1ccccc1N)C(=O)NC(CCC(=O)O)C(=O)O
Hlpr-1159-1	Hlpr-1159-1	CC(N)C(=O)NCCNc1ccc([N+](=O)O)cc1[N+](=O)O
Hlpr-1162-1	Hlpr-1162-1	CCCCC(N)C(=O)NC(CCCC)C(=O)O
Hlpr-1163-0	Hlpr-1163-0	CC(N)C(=O)NC(CCCN=C(N)N)C(=O)O
Hlpr-1163-1	Hlpr-1163-1	NCCCCC(N)C(=O)NC(CCCCN)C(=O)O
Hlpr-1164-1	Hlpr-1164-1	CSCCC(N)C(=O)NC(CCCN=C(N)N)C(=O)O
Hlpr-1165-1	Hlpr-1165-1	CC(NC(=O)C(N)C(C)C)C(=O)O
Hlpr-1166-1	Hlpr-1166-1	CC(N)C(=O)NC(Cc1ccccc1)C(=O)O
Hlpr-1168-0	Hlpr-1168-0	O=C(O)C1CCCN1
Hlpr-1169-0	Hlpr-1169-0	CC(C)C(N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)O
Hlpr-1169-1	Hlpr-1169-1	COc1cc(N)cc2ccccc12
Hlpr-1170-0	Hlpr-1170-0	CC(N)C(=O)N1CCCC1C(=O)NC(C)C(=O)O
Hlpr-1173-1	Hlpr-1173-1	N=C(N)NCCCC(NC(=O)c1ccccc1N)C(=O)NC(CO)C(=O)O
Hlpr-1175-0	Hlpr-1175-0	CSCCC(N)C(=O)O
Hlpr-1176-1	Hlpr-1176-1	NC(CC(=O)O)C(=O)O
Hlpr-1178-1	Hlpr-1178-1	CC(C)CC(N)C(=O)NC(CCC(N)=O)C(=O)O
Hlpr-1179-0	Hlpr-1179-0	NCC(=O)NC(CC(=O)O)C(=O)N1CCCC1C(=O)N1CCCC1C(=O)O
